headword,pos,definition,clarifier,example_runyankore,example_english,section
okuhiriza,v,to invoke evil spirits,,,,O
okuhitwa,v,to exceed in quality (especially beauty),,,,O
okuhogora,n,to put on something (for example a dress or a pair of trousers) and fail to fasten it properly,,,,O
okuhogoza,v,to bask in the sun,,,,O
okuhogoza,v,to put on a dress and shawl without a skirt,,,,O
okuhoha,v,to become very soft,,,,O
okuhoha,v,"to lose air, e.g. from a baloon",,,,O
okuhoma,v,"to cover a wall with a layer of mud, cement, etc",to plaster,,,O
okuhomba,v,to shrivel,,,,O
okuhombanya,v,to shrivel up,,,,O
okuhombatana,v,,,,,O
okuhomboora,v,to peel or scrap off wall plaster,,,,O
okuhomera,v,to put cow dung on the teats of a cow to stop a calf from sucking,,,,O
okuhomontora,v,,,,,O
okuhompatana,v,,,,,O
okuhompoora,v,to undress in public,,,,O
okuhona,v,to survive (e.g. an accident) narrowly,,,,O
okuhona,v,to stay alive after one has gone through a difficult time like a serious accident,,,,O
okuhona,v,to overgrow,,,,O
okuhona,v,to move in a different direction,,,,O
okuhonda,v,to hit or knock,,,,O
okuhonda,v,to pound,,,,O
okuhondeeza,v,to oversleep,to oversleep,,,O
okuhondoberera,v,"to be weak and dull, especially when sick",,,,O
okuhondooka,v,to become weak or thin,,,,O
okuhongoberera,v,,,,,O
okuhongoka,v,to become chipped off of something,,Ekikopo kyangye kyayeteera ahansi kyahongoka omukono.,My cup fell down and broke the handle.,O
okuhongora,v,"to chip off from something, for example from wood, stone, glass, etc",,,,O
okuhongora,v,to remove the maize grains from the cob,,,,O
okuhongoza,v,to become less strong,to abate,,,O
okuhononoka,v,to gradually lose vitality and become thin and small,,,,O
okuhonoora,v,to rub away something with firm pressure,,,,O
okuhonya,v,"to feel drowsy, to feel sleepy",,,,O
okuhonya,v,to develop wrinkles as with elderly people,,,,O
okuhoobeera,v,"to hug, to embrace",,,,O
okuhoobooba,v,to move far while searching for something,,,,O
okuhooga,v,to plead desperately for help or mercy,,,,O
okuhoogana,v,to give up something that one values for the sake of something more important or valuable,,Waaza ow'omufumu nooteekwa kuhoogana embuzi.,When you go to the witchdoctor you have to give a goat.,O
okuhoogooga,v,to walk slowly without lifting one's feet off the ground,to shuffle,,,O
okuhoora,v,to pay tax,,Obuyaabaire naguza ebitookye bakaba bamuhoora.,When he was selling matooke they would tax him.,O
okuhoora,v,to draw in (the abdominal wall),,Omushomesa akabagira ngu bahoore enda.,The teacher told them to breath in.,O
okuhoora-enzigu,v,to revenge,,,,O
okuhoorera,v,sound made by water or rain,roaring,,,O
okuhora,v,to lose heat,to cool,Akateka kyayi yaahoora.,She prepared chai and it became cold.,O
okuhorahoza,v,to make cold or luke warm,(of a drink),Yaaba naahorahoreza omwana obushera.,She was making the porridge cold for the child to drink.,O
okuhorobeka,v,to put mud in a wattle wall while building traditional houses,,,,O
okuhorogoma,v,breathing so hard as though one is about to faint,panting,,,O
okuhoroota,v,to become thin,to lose weight,,,O
okuhorora,v,pronounciation of words by people who are offsprings of Bakiga and Banyankore,,,,O
okuhota,v,to twist something,,,,O
okuhotama,v,to be curved or styled e.g. hair,,,,O
okuhotoka,v,to return or come back,,Akeebwa eshaaha yeye yahotoka.,She forgot her watch and came back.,O
okuhotora,v,to twist,,,,O
okuhotora,v,to return something,,,,O
okuhotorora,v,to rub with much energy,,,,O
okuhoza,v,to cool down something e.g. by mixing it with a cold fluid,,,,O
okuhoza,v,to plead a case in court,,,,O
okuhozahoza,v,to make something cool down quickly,,,,O
okuhuba,v,to be greedy,,,,O
okuhubika,v,"to cover something for sometime, e.g. green bananas to make them ripen",,,,O
okuhuga,v,to be absent minded and disoriented,,,,O
okuhuguta,v,to be soaked in water and rot from inside,(of a gourd),,,O
okuhugutsa,v,to be greedy,,,,O
okuhuguuka,v,to change from bad to good behaviour,,omwana ogu akaba ari omushuma kwonka hati akahunguuka.,this child was a thief but now he changed.,O
okuhuguuka,n,"the facts, information, understanding and skills that a person has acquired through experience or education",,,,O
okuhuguura,v,to clarify something: to correct a wrong impression created by someone,to clarify something,,,O
okuhuhura,v,to kill the dying (whether for euthanasia or other reasons),,,,O
okuhuhura,v,to beat with a lot of strength,,Omukazi akahuhuza enjoka efuka yaafa.,"The woman hit a snake with alot of energy, with her hoe and it died.",O
okuhuhuura,v,to rake a surface or scrape meat off a hide,,,,O
okuhuhuura,v,to dig a big but shallow patch while preparing land for millet growing,,Omwanya ogu yaabaire naahuhuura gukagira amabaare yaagureka.,The place she was preparing for millet growing had stones and she abandoned it.,O
okuhujeera,v,to wheeze restlessly,,,,O
okuhuma,v,to become blind,,,,O
okuhumaana,v,to become a leper,,,,O
okuhumagiza,v,to close one's eyes,,,,O
okuhumba,v,to gather wild berries,,,,O
okuhumbaguza,v,to eat different kinds of foodstuffs within a short interval,,,,O
okuhumbata,v,to swarm around,,Enshohera zaahumbata embwa.,The dog was swarmed with flies.,O
okuhumbika,v,to cover someone or something in order to hide it,,,,O
okuhumbuuka,v,to come back to life,to resurrect,,,O
okuhumbuura,v,to restore to life as believed of magicians,,,,O
okuhumbuuza,v,to harvest everything in a garden,,,,O
okuhumbya,n,to pray for someone especially on a big assigment e.g. war,,,,O
okuhumbya,v,to pray for someone,,,,O
okuhumbya,v,to wink eyes,,,,O
okuhumiriza,v,to close on's eyes,,,,O
okuhumiza,v,to close the eyes,,,,O
okuhumuura,v,to open eyes,,,,O
okuhuna,v,to visit someone too often,,,,O
okuhunama,v,to keep quiet,,,,O
okuhunda,v,to adorn with ornaments,to decorate,,,O
okuhundama,v,to grow thin,,,,O
okuhundika,v,to suffer severely or die from hunger,to cause starvation,,,O
okuhunduuka,v,to lose lusture; to fade,,,,O
okuhunduura,v,to make something fade or lose lusture,,,,O
okuhunduura,v,to come to the end of the harvest season when all fruits fall off,crops,,,O
okuhunduuza,v,"to renovate, refurbish",,"Ku yaabaire naaza kuhingira omuhara, akahunduuza enju ye yaaba nsya.","When he was going to give away his daughter in marriage, he renovated his house and made it new.",O
okuhunga,v,to run away from a threat and go to exile,,Hakabaho orutaro abantu bahunga.,There was a war and all people migrated.,O
okuhungabana,v,to become weak and feel dizzy especially when one is sick,,,,O
okuhungira,v,to doze or to feel sleepy,,,,O
okuhunguka,v,to look the other way,,,,O
okuhunguka,v,to pass in someone's home on a long journey,,,,O
okuhungungwa,v,to move from place to place aimlessly,to wander,Omushazi asiibire naahungunga ekyaro kyona.,The mad person has been wandering all over the village the whole day.,O
okuhungura,v,to inherit a person's property or wife after his death,,,,O
okuhungura,v,to remove maize from a kob,,,,O
okuhungura,v,to shake the buttocks,,,,O
okuhungurura,v,,,,,O
okuhungutuka,v,to lose some senses,,,,O
okuhunguugwa,v,to move aimlessly when one is idle,,,,O
okuhungwa,v,"to shake, e.g. a container full of juice",,,,O
okuhungyesa,v,to whisk: to keep away insects from animals using leaves,to whisk,,,O
okuhunika,v,"to store food (often cereals in a granary, etc)",,,,O
okuhunika,v,to keep in the mouth,,,,O
okuhunjagara,v,to have a nap,,,,O
okuhunjagara,v,to set: to disappear below the horizon,(of the sun),,,O
okuhunjama,v,"to grunt, not wanting people to come near him or her, or when he or she does not want someone to share food with him or her",(of a person),,,O
okuhununtuka,v,to keep on moving from one place to another looking for food,,,,O
okuhunyahunya,v,to flee from danger,to run away,Ebicuncu ku byataahiriire ekyaro abatuuze boona baahunyahunya.,"When lions invaded the village, all the villagers fled.",O
okuhunyura,v,to remove immature grain seeds from their husks,,,,O
okuhunyura,v,"to produce a child prematurely, usually during the seventh month of pregnancy",,,,O
okuhunyuuka,v,to sweep away things from place to place and the place becomes bare,,,,O
okuhura,v,to lose appetite due to pregnancy,,,,O
okuhurikana,v,to confuse two things one for the other,,,,O
okuhurikiza,v,to listen,,,,O
okuhurira,v,to hear,,,,O
okuhurizana,v,to keep in touch,,N'obu yaagiire hare bakaguma nibahurizana.,Though he went far they kept in touch.,O
okuhurubuka,v,to move out of a place quickly and unnoticed,to move secretly,,,O
okuhurubura,v,"to strip things of a common attachment from that attachment e.g. maizie, coffee, etc",,,,O
okuhuruguta,v,to rot inside,(said of gourd),,,O
okuhurura,v,to respond to a call after someone has died,,,,O
okuhururuka,v,to grow thin,,,,O
okuhururura,v,to starve,,,,O
okuhururwa,v,to be in pain,,,,O
okuhuruutuka,v,to happen very fast,,Ekiti kikahurutuka omu muti kyamuteera.,The wood came fast from the tree and beat him.,O
okuhuruutuka,v,to rush,,,,O
okuhuruutura,v,to eat while making a noise,,,,O
okuhuruutura,v,to scare someone,,Akaija nairuka yampurutura omutima.,He came running and scared me.,O
okuhuruutura,v,to pull someone very fast,,,,O
okuhuruza,v,to call people in times of danger,,,,O
okuhurwa,v,to lose appetite for something,,,,O
okuhusha,v,to miss a mark or target,,,,O
okuhushukana,v,,,,,O
okuhutaara,v,to be injured,,Bakaba nibazaana yaamuhutaaza.,As they were playing he injured her.,O
okuhuuba,v,to make something move backward and forward or from side to side while hanging on a fixed point,to swing,Omwana naahuuba omugoye.,The child is swinging the rope.,O
okuhuubya,v,to harvest all mature bananas of whatever size in the plantation,,,,O
okuhuuga,v,to shade or paint with parallel pencil lines or use colours to design something,,,,O
okuhuugiza,v,"to make someone feel unsteady, dozed or confused",to feel dizzy,,,O
okuhuugiza,v,to protect someone or something from being seen,to hide,,,O
okuhuuha,v,to send out air from the mouth or to be moved by wind,to blow,,,O
okuhuuha,v,to chase something away,,,,O
okuhuuhira,v,to make fire on one side so as to enable bananas for beer to ripen fast,,,,O
okuhuuhira,v,to grow secondary hair at puberty stage,,,,O
okuhuuhuuta,v,to cause the sensation of intense burning pain,,,,O
okuhuukura,v,to eat food quickly and in large quantities,to gulp,,,O
okuhuukura,v,to eat food greedily,,,,O
okuhuuma,v,to hoot,,,,O
okuhuumura,v,to emit a scent of a specific kind,to be aromatic,Ebyokurya ebi nibihuumura,The food smells good,O
okuhuumura,v,"to rest or go on holiday, or lunch break",,,,O
okuhuumura,v,to die,,,,O
okuhuumuriza,v,to counsel or confort someone,,Bakahuumuriza abaabaire barwaire siriimu.,They counselled the HIV/AIDS patients.,O
okuhuumuruka,v,to go back to school,,,,O
okuhuumuza,v,to put something down briefly in order to rest,,,,O
okuhuumuza,v,to console or comfort someone in grief,,,,O
okuhuumuza,v,to retire someone,,"Ku yaahikize emyaka nkaaga, baamuhuumuza.",When he clocked sixty years he was made to retire.,O
okuhuuna,v,to grunt,,,,O
okuhuunagira,v,to grunt in bewilderment; to be bewildered,,,,O
okuhuunaho,v,to smell on something,,Embwa yaahuunaho aha bijwaro ebigubire.,The dog has smelled on dirty clothes.,O
okuhuura,v,to thresh,,,,O
okuhuurana,v,to move up and down looking for something and not finding it,,Omukazi akahuurana aha kushutama haabura.,The woman moved up and down looking for where to sit.,O
okuhuurikana,v,to confuse two things,,,,O
okuhuurira,v,,,,,O
okuhuuta,v,to sip something e.g. soup,,,,O
okuhuutirira,v,to blow at someone who is either in pain or needs fresh air,,,,O
okuhuutirira,v,to blow the fire in order to keep it alite,,,,O
okuhuuyuura,v,to move in a haphazard manner,,,,O
okuhuuza,v,to move all over the place trying to locate something,,,,O
okuhwa,v,to complete something that one is doing,to get finished,,,O
okuhwaho,v,to be completely finished,,,,O
okuhwaho,v,to be annihilated,,,,O
okuhwahuuka,v,a be or feel light,,,,O
okuhwama,v,to do something without any hesitation,,,,O
okuhwama,v,to be slow to act or speak because feeling uncertain or nervous,to hesitate,,,O
okuhwama,v,to loiter all over the place or on something,,,,O
okuhwamu,v,to get finished,,,,O
okuhwanaho,v,to go different ways because of a disagreement,to be separated,,,O
okuhwaziira,v,"to lose concentration, focus or attention",,Ku oraahwaziire esente nibazikwibaho.,"If you are not attentive, they will steal the money from you.",O
okuhwehura,v,to whisper to somebody,,,,O
okuhweisa,v,to stop giving milk,,Ente zikahwisa abantu babura amate.,The cows went dry and people lacked milk.,O
okuhwekahweka,v,"to flatter somebody with an aim of achieving something, usually done to somebody in position of influence",,,,O
okuhwekyera,v,to dose,,,,O
okuhwekyerera,v,to die out,,,,O
okuhwengyeza,v,to try to locate something with difficulty especially when there is darkness,,,,O
okuhwera,v,to give a hand to someone in solving a problem,to help or assist,,,O
okuhwera,v,to become impossible to see,,,,O
okuhwerekyerera,v,to be destroyed completely,,,,O
okuhwerera,v,"When salt is put in water, it dissolves",dissolve,Omwonyo ku orikuguta omu maizi guhwerera.,"When salt is put in water, it dissolves.",O
okuhwerera,v,to die down,,,,O
okuhwerera,v,to wear out,,,,O
okuhwerera,v,to be dispersed,,,,O
okuhweza,v,"to be able to see clearly as a result of an illumination from a source that produces light eg the sun, fire, etc",,"Kubwaba nibuhweza omukasheeshe, abaisurukare baija baamutwara omu kihome.","When it began to light in the morning, the police came and took him to prison.",O
okuhweza,v,to be civilised or intelligent,,Abantu b'owaabo hati bakahweza.,people from her village are now civilized.,O
okuhwihwisa,n,to whisper especially of young children in the presence of a superior person,,,,O
okuhwita,v,to grow very old,,,,O
okuhwizima,v,to get dark,,,,O
okujaakara,v,to spread about,,,,O
okujaayana,v,to move all over the place looking for something or someone,to wander,Naaza kujaayana kubona ekintu ekyo.,He will wonder around to get that thing.,O
okujaayana,v,to move from place to place with no particular direction or purpose,to wander,Omuriisa w'entaama akajayana arikuronda entaama eyaabaire ebuzire.,The shephered wandered looking for a lost sheep.,O
