date,region,district,market_name,commodity,unit,price_type,price_ugx,price_usd
2025-06-15,Kabarole,Fort Portal Municipality,Fort Portal,Beans,KG,Retail,4875.0,1.35
2025-06-15,Kabarole,Fort Portal Municipality,Fort Portal,Cassava flour,KG,Retail,1875.0,0.52
2025-06-15,Gulu,Gulu Municipality,Gulu,Beans,KG,Retail,4860.0,1.35
2025-06-15,Gulu,Gulu Municipality,Gulu,Cassava flour,KG,Retail,6000.0,1.66
2025-06-15,Jinja,Jinja Municipality,Jinja,Beans,KG,Retail,4563.0,1.27
2025-06-15,Jinja,Jinja Municipality,Jinja,Cassava flour,KG,Retail,1500.0,0.42
2025-06-15,Mbarara,Mbarara Municipality,Mbarara,Beans,KG,Retail,4000.0,1.11
2025-06-15,Mbarara,Mbarara Municipality,Mbarara,Cassava flour,KG,Retail,2000.0,0.55
2025-07-15,Arua,Arua Municipality,Arua,Beans,KG,Retail,2800.0,0.78
2025-07-15,Arua,Arua Municipality,Arua,Cassava flour,KG,Retail,1000.0,0.28
2025-07-15,Busia,Samia-bugwe,Busia,Beans,KG,Retail,2615.0,0.73
2025-07-15,Busia,Samia-bugwe,Busia,Cassava flour,KG,Retail,1000.0,0.28
2025-07-15,Kabarole,Fort Portal Municipality,Fort Portal,Beans,KG,Retail,4000.0,1.12
2025-07-15,Kabarole,Fort Portal Municipality,Fort Portal,Cassava flour,KG,Retail,1900.0,0.53
2025-07-15,Gulu,Gulu Municipality,Gulu,Beans,KG,Retail,4325.0,1.21
2025-07-15,Gulu,Gulu Municipality,Gulu,Cassava flour,KG,Retail,6000.0,1.67
2025-07-15,Jinja,Jinja Municipality,Jinja,Beans,KG,Retail,4200.0,1.17
2025-07-15,Jinja,Jinja Municipality,Jinja,Cassava flour,KG,Retail,1530.0,0.43
2025-07-15,Mbarara,Mbarara Municipality,Mbarara,Beans,KG,Retail,3500.0,0.98
2025-07-15,Mbarara,Mbarara Municipality,Mbarara,Cassava flour,KG,Retail,2000.0,0.56
2025-08-15,Arua,Arua Municipality,Arua,Beans,KG,Retail,2800.0,0.79
2025-08-15,Arua,Arua Municipality,Arua,Cassava flour,KG,Retail,1000.0,0.28
2025-08-15,Busia,Samia-bugwe,Busia,Beans,KG,Retail,2675.0,0.75
2025-08-15,Busia,Samia-bugwe,Busia,Cassava flour,KG,Retail,1013.0,0.28
2025-08-15,Kabarole,Fort Portal Municipality,Fort Portal,Beans,KG,Retail,4250.0,1.19
2025-08-15,Kabarole,Fort Portal Municipality,Fort Portal,Cassava flour,KG,Retail,1875.0,0.53
2025-08-15,Gulu,Gulu Municipality,Gulu,Beans,KG,Retail,4033.0,1.13
2025-08-15,Gulu,Gulu Municipality,Gulu,Cassava flour,KG,Retail,4667.0,1.31
2025-08-15,Jinja,Jinja Municipality,Jinja,Beans,KG,Retail,4000.0,1.12
2025-08-15,Jinja,Jinja Municipality,Jinja,Cassava flour,KG,Retail,1500.0,0.42
2025-08-15,Mbarara,Mbarara Municipality,Mbarara,Beans,KG,Retail,3833.0,1.08
2025-08-15,Mbarara,Mbarara Municipality,Mbarara,Cassava flour,KG,Retail,2000.0,0.56
2025-09-15,Arua,Arua Municipality,Arua,Beans,KG,Retail,4000.0,1.14
2025-09-15,Arua,Arua Municipality,Arua,Cassava flour,KG,Retail,1200.0,0.34
2025-09-15,Busia,Samia-bugwe,Busia,Beans,KG,Retail,2663.0,0.76
2025-09-15,Busia,Samia-bugwe,Busia,Cassava flour,KG,Retail,1000.0,0.29
2025-09-15,Kabarole,Fort Portal Municipality,Fort Portal,Beans,KG,Retail,5000.0,1.43
